sample_name,subsample_name,sra
w_replicate1,rep1,SRR827751
w_replicate2,rep1,SRR827752
piwi,rep1,SRR827743
aub,rep1,SRR827737
zuc,rep1,SRR827754
yb,rep1,SRR827753
vasa,rep1,SRR827750
u2a,rep1,SRR827749
tej,rep1,SRR827748
squ,rep1,SRR827747
spne,rep1,SRR827746
shu,rep1,SRR827745
rhi,rep1,SRR827744
mael,rep1,SRR827742	
gasz,rep1,SRR827741
del,rep1,SRR827740
cuff,rep1,SRR827739
arx,rep1,SRR827738
ars2,rep1,SRR827736
armi,rep1,SRR827735	
ovary_replicate1,rep1,SRR827729
ovary_replicate2,rep1,SRR827730
